A,B,BitWidth,Exact,Truncated,Simplified,Reduced,Stochastic,AbsError_Truncated,RelError_Truncated,AbsError_Simplified,RelError_Simplified,AbsError_Reduced,RelError_Reduced,AbsError_Stochastic,RelError_Stochastic
0,0,4,0,0,0,0,15,0,0.0,0,0.0,0,0.0,15,15.0
0,0,4,0,0,0,0,5,0,0.0,0,0.0,0,0.0,5,5.0
0,0,4,0,0,0,0,3,0,0.0,0,0.0,0,0.0,3,3.0
0,0,4,0,0,0,0,3,0,0.0,0,0.0,0,0.0,3,3.0
0,0,4,0,0,0,0,12,0,0.0,0,0.0,0,0.0,12,12.0
0,0,4,0,0,0,0,15,0,0.0,0,0.0,0,0.0,15,15.0
0,1,4,1,0,1,1,8,1,1.0,0,0.0,0,0.0,7,7.0
0,1,4,1,0,1,1,2,1,1.0,0,0.0,0,0.0,1,1.0
0,2,4,2,0,2,2,10,2,1.0,0,0.0,0,0.0,8,4.0
0,2,4,2,0,2,2,8,2,1.0,0,0.0,0,0.0,6,3.0
0,3,4,3,0,3,3,11,3,1.0,0,0.0,0,0.0,8,2.6666666666666665
0,3,4,3,0,3,3,8,3,1.0,0,0.0,0,0.0,5,1.6666666666666667
0,4,4,4,4,4,4,0,0,0.0,0,0.0,0,0.0,4,1.0
0,4,4,4,4,4,4,1,0,0.0,0,0.0,0,0.0,3,0.75
0,5,4,5,4,5,5,9,1,0.2,0,0.0,0,0.0,4,0.8
0,5,4,5,4,5,5,8,1,0.2,0,0.0,0,0.0,3,0.6
0,6,4,6,4,6,6,5,2,0.3333333333333333,0,0.0,0,0.0,1,0.16666666666666666
0,6,4,6,4,6,6,3,2,0.3333333333333333,0,0.0,0,0.0,3,0.5
0,7,4,7,4,7,7,12,3,0.42857142857142855,0,0.0,0,0.0,5,0.7142857142857143
0,7,4,7,4,7,7,5,3,0.42857142857142855,0,0.0,0,0.0,2,0.2857142857142857
0,8,4,8,8,8,8,9,0,0.0,0,0.0,0,0.0,1,0.125
0,8,4,8,8,8,8,15,0,0.0,0,0.0,0,0.0,7,0.875
0,9,4,9,8,9,9,1,1,0.1111111111111111,0,0.0,0,0.0,8,0.8888888888888888
0,9,4,9,8,9,9,6,1,0.1111111111111111,0,0.0,0,0.0,3,0.3333333333333333
0,10,4,10,8,10,10,13,2,0.2,0,0.0,0,0.0,3,0.3
0,10,4,10,8,10,10,4,2,0.2,0,0.0,0,0.0,6,0.6
0,11,4,11,8,11,11,4,3,0.2727272727272727,0,0.0,0,0.0,7,0.6363636363636364
0,11,4,11,8,11,11,0,3,0.2727272727272727,0,0.0,0,0.0,11,1.0
0,12,4,12,12,12,12,7,0,0.0,0,0.0,0,0.0,5,0.4166666666666667
0,12,4,12,12,12,12,4,0,0.0,0,0.0,0,0.0,8,0.6666666666666666
0,13,4,13,12,13,13,2,1,0.07692307692307693,0,0.0,0,0.0,11,0.8461538461538461
0,13,4,13,12,13,13,6,1,0.07692307692307693,0,0.0,0,0.0,7,0.5384615384615384
0,14,4,14,12,14,14,8,2,0.14285714285714285,0,0.0,0,0.0,6,0.42857142857142855
0,14,4,14,12,14,14,0,2,0.14285714285714285,0,0.0,0,0.0,14,1.0
0,15,4,15,12,15,15,2,3,0.2,0,0.0,0,0.0,13,0.8666666666666667
0,15,4,15,12,15,15,4,3,0.2,0,0.0,0,0.0,11,0.7333333333333333
1,0,4,1,0,1,1,0,1,1.0,0,0.0,0,0.0,1,1.0
1,0,4,1,0,1,1,7,1,1.0,0,0.0,0,0.0,6,6.0
1,1,4,2,0,1,2,11,2,1.0,1,0.5,0,0.0,9,4.5
1,1,4,2,0,1,2,7,2,1.0,1,0.5,0,0.0,5,2.5
1,2,4,3,0,3,3,13,3,1.0,0,0.0,0,0.0,10,3.3333333333333335
1,2,4,3,0,3,3,6,3,1.0,0,0.0,0,0.0,3,1.0
1,3,4,4,0,3,0,7,4,1.0,1,0.25,4,1.0,3,0.75
1,3,4,4,0,3,0,14,4,1.0,1,0.25,4,1.0,10,2.5
1,4,4,5,4,5,5,12,1,0.2,0,0.0,0,0.0,7,1.4
1,4,4,5,4,5,5,3,1,0.2,0,0.0,0,0.0,2,0.4
1,5,4,6,4,5,6,6,2,0.3333333333333333,1,0.16666666666666666,0,0.0,0,0.0
1,5,4,6,4,5,6,5,2,0.3333333333333333,1,0.16666666666666666,0,0.0,1,0.16666666666666666
1,6,4,7,4,7,7,7,3,0.42857142857142855,0,0.0,0,0.0,0,0.0
1,6,4,7,4,7,7,10,3,0.42857142857142855,0,0.0,0,0.0,3,0.42857142857142855
1,7,4,8,4,7,4,15,4,0.5,1,0.125,4,0.5,7,0.875
1,7,4,8,4,7,4,9,4,0.5,1,0.125,4,0.5,1,0.125
1,8,4,9,8,9,9,8,1,0.1111111111111111,0,0.0,0,0.0,1,0.1111111111111111
1,8,4,9,8,9,9,13,1,0.1111111111111111,0,0.0,0,0.0,4,0.4444444444444444
